frame,timestamp_video,timestamp_pupildata,x,y,a,b,p,w,h
1, 629774.213199, 629774.213199, 79.050011, 65.253304, 23.120481, 26.953405, 3.685582, 23.137625, 26.938689
2, 629774.221286, 629774.221286, 78.811035, 65.327248, 23.064476, 26.997185, 4.076559, 23.086035, 26.978752
3, 629774.225837, 629774.225837, 78.742424, 65.326141, 23.058054, 27.087864, 2.390555, 23.065676, 27.081374
4, 629774.229217, 629774.229217, 78.923546, 65.453163, 22.855116, 27.090193, 4.068323, 22.878396, 27.070536
5, 629774.233327, 629774.233327, 79.055740, 65.459686, 23.130985, 27.204407, 178.832443, 23.132825, 27.202842
6, 629774.241254, 629774.241254, 79.068871, 65.562744, 23.158033, 27.097912, 3.298069, 23.172178, 27.085817
7, 629774.245196, 629774.245196, 79.157906, 65.595634, 23.063005, 27.143259, 2.443650, 23.071077, 27.136398
8, 629774.249660, 629774.249660, 79.444908, 65.558060, 23.034706, 27.087099, 0.239162, 23.034783, 27.087034
9, 629774.253209, 629774.253209, 79.522423, 65.706894, 22.885326, 26.828712, 2.554131, 22.893830, 26.821455
10, 629774.261236, 629774.261236, 79.567436, 65.830521, 23.058084, 27.052822, 179.755554, 23.058163, 27.052755
11, 629774.265207, 629774.265207, 79.745575, 65.924973, 23.201015, 26.959454, 1.021466, 23.202306, 26.958343
12, 629774.269202, 629774.269202, 79.814423, 66.121552, 23.271938, 26.896935, 178.804138, 23.273640, 26.895462
13, 629774.273265, 629774.273265, 80.001472, 66.195450, 23.186922, 26.829769, 178.948578, 23.188245, 26.828626
14, 629774.281220, 629774.281220, 80.075424, 66.215881, 23.211964, 26.780029, 1.138402, 23.213481, 26.778714
15, 629774.285420, 629774.285420, 80.263786, 66.357620, 23.247459, 26.822931, 179.846695, 23.247487, 26.822907
16, 629774.289254, 629774.289254, 80.271011, 66.370743, 23.155636, 26.828426, 179.937119, 23.155641, 26.828422
17, 629774.293230, 629774.293230, 80.431763, 66.505547, 23.005644, 26.991375, 0.333217, 23.005790, 26.991250
18, 629774.301218, 629774.301218, 80.637360, 66.507202, 23.307243, 26.720934, 1.101921, 23.308598, 26.719752
