frame,timestamp_video,timestamp_pupildata,x,y,a,b,p
1, 235395.584065, 235395.584065, 47.500141, 136.399750, 24.707300, 27.336866, 104.586754
2, 235395.604895, 235395.604895, 47.058559, 135.988098, 25.098070, 27.207415, 103.845604
3, 235395.617727, 235395.617727, 47.008163, 136.067535, 25.068457, 27.207733, 108.451347
4, 235395.627326, 235395.627326, 47.153717, 136.110947, 25.020773, 27.565228, 109.052429
5, 235395.636263, 235395.636263, 47.244877, 136.181213, 25.193941, 27.415972, 110.274567
6, 235395.646456, 235395.646456, 47.374214, 136.255020, 25.189104, 27.381161, 104.381126
7, 235395.714101, 235395.714101, 47.695080, 136.879807, 25.616035, 27.446245, 104.926064
8, 235395.731895, 235395.731895, 47.587708, 136.915482, 25.636890, 27.328758, 103.048210
9, 235395.752229, 235395.752229, 47.676460, 137.114410, 25.627934, 27.264938, 99.997238
10, 235395.767213, 235395.767213, 47.634651, 137.120575, 25.515787, 27.722572, 102.770714
11, 235395.782115, 235395.782115, 47.706161, 137.188858, 25.556133, 27.435913, 99.146210
12, 235395.798806, 235395.798806, 47.700249, 137.210022, 25.571608, 27.548082, 98.405830
13, 235395.808683, 235395.808683, 47.804733, 137.193466, 25.694681, 27.400642, 101.328690
14, 235395.818331, 235395.818331, 47.803017, 137.276962, 25.476534, 27.690048, 101.374855
15, 235395.828796, 235395.828796, 46.286404, 135.945923, 25.930441, 27.447739, 108.744934
16, 235395.837001, 235395.837001, 45.257889, 134.594193, 25.798567, 27.515873, 82.582840
17, 235395.845748, 235395.845748, 45.427967, 134.871124, 25.730444, 27.356932, 93.155556
18, 235395.869433, 235395.869433, 45.532902, 134.921310, 25.412495, 27.320805, 80.994598
19, 235395.883541, 235395.883541, 45.622807, 134.983170, 25.440170, 27.458370, 84.820518
20, 235395.895648, 235395.895648, 45.650467, 135.015045, 25.600872, 27.466383, 83.673599
21, 235395.907863, 235395.907863, 45.615311, 134.989716, 25.536924, 27.326078, 82.232666
22, 235395.921355, 235395.921355, 45.718990, 135.043808, 25.643667, 27.351240, 84.417801
23, 235395.932724, 235395.932724, 45.733143, 135.053146, 25.794151, 27.231680, 84.332291
24, 235395.944946, 235395.944946, 45.712166, 135.100098, 25.604216, 27.564842, 87.141571
25, 235395.965962, 235395.965962, 45.830444, 135.206482, 25.638416, 27.371973, 85.293861
26, 235395.979082, 235395.979082, 45.878597, 135.261322, 25.827225, 27.693930, 81.579651
27, 235395.987649, 235395.987649, 45.946243, 135.250549, 25.676121, 27.609592, 83.286247
28, 235395.996963, 235395.996963, 45.945309, 135.819565, 25.984262, 27.528889, 85.286354
29, 235396.016767, 235396.016767, 45.794495, 137.384216, 27.100573, 27.685865, 121.572693
