frame,timestamp_video,timestamp_pupildata,x,y,a,b,p,w,h
1, 629774.213194, 629774.213194, 75.590103, 89.118736, 25.706104, 28.928438, 172.758682, 25.760453, 28.880052
2, 629774.221233, 629774.221233, 76.535728, 89.161438, 25.756666, 28.776148, 175.266586, 25.778423, 28.756659
3, 629774.229244, 629774.229244, 76.508919, 89.132858, 25.854483, 28.634813, 179.702576, 25.854562, 28.634742
4, 629774.237251, 629774.237251, 76.279305, 89.351784, 25.309296, 29.114471, 3.617296, 25.325576, 29.100311
5, 629774.245207, 629774.245207, 75.652962, 89.440285, 24.887596, 28.939510, 176.681458, 24.902275, 28.926880
6, 629774.253202, 629774.253202, 75.577896, 89.470413, 24.961737, 28.825819, 174.622467, 24.998276, 28.794138
7, 629774.261224, 629774.261224, 75.226013, 89.254181, 24.998369, 28.518965, 176.440750, 25.012889, 28.506231
8, 629774.269214, 629774.269214, 75.093842, 89.397263, 24.919924, 28.639982, 177.192169, 24.929515, 28.631634
9, 629774.277235, 629774.277235, 74.794266, 89.405640, 25.054029, 28.731846, 179.146423, 25.054905, 28.731082
10, 629774.285276, 629774.285276, 74.602982, 89.266258, 25.165794, 28.542635, 177.913696, 25.170569, 28.538424
11, 629774.293246, 629774.293246, 74.257881, 89.399406, 24.701464, 28.656466, 176.728958, 24.715368, 28.644475
12, 629774.301211, 629774.301211, 74.179901, 89.362877, 24.924826, 28.541782, 178.770020, 24.926613, 28.540221
13, 629774.309232, 629774.309232, 73.981087, 89.366272, 24.819073, 28.589102, 1.170581, 24.820766, 28.587632
14, 629774.317246, 629774.317246, 73.535019, 89.517204, 24.654875, 28.481379, 177.539383, 24.662474, 28.474799
15, 629774.327705, 629774.327705, 73.268906, 89.411423, 24.765133, 28.336168, 177.606812, 24.771808, 28.330333
16, 629774.333319, 629774.333319, 73.074715, 89.465195, 24.414576, 28.564554, 176.629837, 24.430132, 28.551251
17, 629774.342164, 629774.342164, 72.728447, 89.486549, 24.194994, 28.562777, 178.904221, 24.196736, 28.561302
18, 629774.349306, 629774.349306, 72.497574, 89.618553, 24.508978, 28.206945, 1.266122, 24.510920, 28.205258
19, 629774.357242, 629774.357242, 72.201454, 89.519264, 23.925276, 28.626129, 177.072083, 23.938742, 28.614869
20, 629774.365235, 629774.365235, 71.899300, 89.453674, 24.010637, 28.625599, 179.012833, 24.012138, 28.624340
21, 629774.373249, 629774.373249, 71.543373, 89.608101, 24.346598, 28.057325, 179.700821, 24.346707, 28.057230
22, 629774.381183, 629774.381183, 71.345169, 89.676353, 24.250771, 28.037762, 0.759117, 24.251488, 28.037142
23, 629774.389190, 629774.389190, 71.021446, 89.656532, 24.018530, 28.089197, 176.968353, 24.030878, 28.078634
24, 629774.397240, 629774.397240, 70.650879, 89.668144, 23.921669, 28.092606, 178.496262, 23.924792, 28.089947
25, 629774.405239, 629774.405239, 70.417068, 89.686729, 23.852720, 28.174795, 0.572631, 23.853191, 28.174396
26, 629774.413190, 629774.413190, 70.112122, 89.736748, 23.667490, 28.174501, 179.209579, 23.668429, 28.173712
27, 629774.421249, 629774.421249, 69.708328, 89.920776, 23.400463, 28.085850, 0.368932, 23.400677, 28.085672
28, 629774.430511, 629774.430511, 69.393753, 89.784897, 23.423105, 28.183216, 179.627518, 23.423327, 28.183032
